,x0,x1,char
0,6.14,2.1,B
1,2.22,2.39,A
2,2.27,5.44,B
3,1.03,3.19,A
4,2.25,1.71,A
5,5.26,5.9,A
6,5.7,1.54,B
7,1.78,5.91,B
8,5.98,2.09,B
9,6.75,5.99,A
10,4.98,5.84,A
11,2.75,2.37,A
12,5.32,6.57,A
13,6.38,5.96,A
14,1.54,2.34,A
15,1.43,6.57,B
16,6.84,2.61,B
17,1.88,2.3,A
18,5.79,5.95,A
19,6.27,1.99,B
20,5.61,1.48,B
21,6.6,1.61,B
22,1.66,5.66,B
23,1.84,2.25,A
24,6.37,6.28,A
25,2.62,6.31,B
26,2.35,3.03,A
27,5.21,2.11,B
28,5.78,6.12,A
29,1.15,6.02,B
30,1.75,1.83,A
31,6.42,2.32,B
32,2.56,1.79,A
33,6.33,5.45,A
34,6.38,2.64,B
35,5.94,6.12,A
36,1.85,6.5,B
37,1.96,1.93,A
38,5.63,6.58,A
39,1.22,5.6,B
40,5.11,2.06,B
41,3.21,6.1,B
42,6.11,2.24,B
43,6.15,1.95,B
44,5.53,1.78,B
45,2.23,2.55,A
46,2.05,2.19,A
47,2.5,5.99,B
48,5.82,6.01,A
49,5.55,2.46,B
50,2.38,2.08,A
51,2.11,5.76,B
52,6.05,2.7,B
53,6.17,1.55,B
54,2.63,2.58,A
55,1.87,2.27,A
56,5.61,1.51,B
57,2.41,1.28,A
58,1.44,1.86,A
59,2.91,1.92,A
60,5.71,6.49,A
61,5.94,1.97,B
62,5.57,2.15,B
63,5.85,5.45,A
64,5.86,5.16,A
65,2.12,6.21,B
66,6.73,5.66,A
67,1.61,5.66,B
68,6.51,1.28,B
69,6.46,2.06,B
70,5.74,1.4,B
71,1.49,6.42,B
72,1.45,1.91,A
73,6.34,5.66,A
74,5.89,2.36,B
75,5.25,1.47,B
76,2.58,1.82,A
77,6.7,6.44,A
78,1.38,1.97,A
79,1.64,2.46,A
80,1.4,1.41,A
81,5.75,2.23,B
82,5.22,5.31,A
83,2.48,6.74,B
84,5.38,2.68,B
85,7.26,2.47,B
86,3.14,1.66,A
87,5.8,2.22,B
88,2.29,6.72,B
89,2.05,5.84,B
90,1.83,6.26,B
91,6.13,1.9,B
92,6.94,2.22,B
93,2.35,2.06,A
94,5.67,5.8,A
95,1.88,5.81,B
96,5.81,7.02,A
97,1.89,6.81,B
98,2.86,2.73,A
99,2.38,6.84,B
100,2.64,6.25,B
101,6.36,1.56,B
102,1.85,6.51,B
103,3.06,1.69,A
104,5.29,6.5,A
105,2.38,5.79,B
106,2.07,5.84,B
107,6.91,1.02,B
108,5.98,6.48,A
109,6.07,2.65,B
110,5.91,2.39,B
111,2.33,5.57,B
112,2.03,2.77,A
113,2.02,3.23,A
114,1.65,1.76,A
115,1.95,2.15,A
116,5.74,6.07,A
117,1.96,1.6,A
118,1.2,1.49,A
119,5.29,2.37,B
120,2.48,2.51,A
121,1.83,5.62,B
122,5.89,0.89,B
123,5.78,1.51,B
124,6.37,1.04,B
125,6.13,6.03,A
126,2.12,1.9,A
127,5.49,5.8,A
128,5.49,1.72,B
129,6.18,6.15,A
130,4.96,5.79,A
131,1.66,5.71,B
132,6.66,5.2,A
133,1.32,6.42,B
134,2.26,2.57,A
135,5.84,6.91,A
136,6.04,2.23,B
137,6.36,6.62,A
138,5.48,6.9,A
139,1.32,4.77,B
140,5.75,2.24,B
141,2.91,2.64,A
142,2.93,1.53,A
143,6.29,1.68,B
144,5.63,5.83,A
145,2.31,6.07,B
146,6.94,5.27,A
147,6.23,5.56,A
148,1.46,2.65,A
149,1.31,2.38,A
150,6.87,2.8,B
151,6.77,1.42,B
152,1.87,1.48,A
153,2.07,4.9,B
154,6.07,6.47,A
155,5.69,2.33,B
156,1.28,4.96,B
157,2.34,6.34,B
158,6.43,6.43,A
159,6.22,5.65,A
160,2.12,2.2,A
161,1.76,5.86,B
162,5.93,2.16,B
163,5.98,0.7,B
164,6.82,4.91,A
165,5.0,1.58,B
166,6.04,6.82,A
167,2.14,6.65,B
168,5.87,7.06,A
169,1.84,2.86,A
170,1.92,2.78,A
171,1.34,2.43,A
172,2.22,2.8,A
173,1.45,6.69,B
174,1.81,2.09,A
175,6.28,5.62,A
176,1.82,2.3,A
177,6.29,1.62,B
178,6.41,2.3,B
179,1.99,6.46,B
180,1.65,5.34,B
181,6.32,2.88,B
182,6.11,2.24,B
183,2.08,1.39,A
184,2.6,2.49,A
185,6.15,2.18,B
186,6.64,1.49,B
187,5.9,2.18,B
188,5.01,5.1,A
189,1.77,1.9,A
190,6.02,2.22,B
191,1.87,2.36,A
192,6.53,5.24,A
193,1.71,6.91,B
194,5.61,6.28,A
195,1.84,6.63,B
196,5.59,2.72,B
197,5.63,5.9,A
198,5.37,5.16,A
199,2.04,1.1,A
