,x0,x1,x2,x3,char
0,6.1,1.58,1.72,5.71,D
1,2.81,5.28,6.32,1.37,D
2,6.42,6.01,7.06,7.17,B
3,1.95,5.48,5.46,1.58,C
4,1.33,1.75,1.12,2.37,A
5,6.13,2.38,1.83,6.23,D
6,5.06,1.94,2.5,6.04,D
7,6.4,4.87,5.09,6.24,B
8,5.96,5.38,6.05,6.06,B
9,2.23,6.27,6.68,2.61,C
10,2.62,2.12,2.13,2.21,A
11,0.58,2.11,1.61,1.25,A
12,1.73,3.25,2.18,2.77,A
13,1.92,5.79,6.5,1.6,D
14,6.09,1.52,1.57,6.66,D
15,6.54,5.99,6.26,5.74,B
16,1.86,6.29,5.66,2.11,C
17,1.7,6.0,6.56,2.83,C
18,1.98,1.89,1.54,2.35,A
19,6.19,5.67,6.81,6.52,B
20,6.2,5.85,6.23,5.95,B
21,1.94,5.85,5.0,2.63,D
22,2.39,5.9,5.53,2.32,C
23,1.68,6.01,5.94,1.77,C
24,5.46,1.63,2.53,7.29,D
25,2.79,2.48,1.89,1.99,A
26,2.39,2.31,2.63,1.23,A
27,1.62,6.21,5.27,1.14,C
28,2.07,2.32,1.63,2.61,A
29,1.97,6.08,5.42,2.4,C
30,2.46,6.1,6.25,2.36,C
31,1.76,2.14,1.78,2.67,A
32,6.95,6.47,5.62,6.48,B
33,1.65,6.09,5.84,1.4,C
34,6.33,6.49,5.83,6.62,B
35,1.54,2.31,2.0,1.52,A
36,2.19,5.45,6.23,1.39,C
37,5.35,5.9,5.78,5.79,B
38,2.15,1.12,1.99,3.2,A
39,2.15,1.82,1.25,2.06,A
40,1.68,0.79,2.13,1.82,A
41,1.38,1.28,1.91,2.15,A
42,1.87,6.84,5.25,1.65,C
43,6.54,6.5,6.66,5.56,B
44,5.46,5.47,7.38,5.32,B
45,2.8,2.37,2.7,1.63,A
46,2.24,1.69,1.6,2.34,A
47,2.76,1.68,2.75,2.35,A
48,6.21,5.63,5.86,6.37,B
49,5.43,6.22,6.2,5.26,B
