,x0,x1,x2,x3,char
0,5.9,7.34,6.07,7.11,C
1,2.33,2.61,2.8,0.07,D
2,3.44,6.73,6.49,4.75,C
3,5.83,4.77,2.42,1.8,B
4,4.12,8.26,6.61,5.49,C
5,3.77,5.29,4.6,5.9,C
6,3.96,4.97,5.14,8.02,A
7,2.4,5.24,3.73,8.13,A
8,4.13,3.26,3.9,8.75,A
9,2.68,3.81,0.7,0.11,D
10,4.46,7.17,4.92,5.83,C
11,6.22,6.34,4.83,4.46,C
12,5.27,3.91,-0.47,1.37,B
13,5.25,6.67,4.94,6.9,C
14,2.5,3.25,5.02,7.0,A
15,5.82,4.33,2.23,0.73,B
16,2.39,3.33,4.96,6.68,A
17,6.41,4.08,3.0,0.21,B
18,3.07,5.42,4.23,5.64,A
19,1.92,7.98,5.92,7.54,C
20,3.67,5.06,5.61,4.78,A
21,5.88,6.53,4.13,6.28,C
22,5.28,8.01,4.34,6.21,C
23,5.6,3.78,1.39,1.16,B
24,4.7,7.31,5.05,6.37,C
25,4.54,4.61,2.98,-0.49,D
26,3.88,6.11,3.02,6.77,C
27,4.98,9.96,6.68,5.73,C
28,4.87,1.53,1.39,2.02,D
29,3.72,4.65,2.47,1.43,D
30,3.1,9.53,3.4,8.18,C
31,4.4,5.22,1.31,2.51,D
32,5.54,2.16,2.9,2.94,B
33,7.96,4.69,2.74,-0.48,B
34,2.46,5.09,4.42,7.01,A
35,2.27,4.57,2.53,1.81,D
36,3.96,3.42,5.69,9.33,A
37,4.58,6.14,2.91,1.65,D
38,-0.02,6.74,4.5,7.29,C
39,1.24,4.13,1.69,0.89,D
40,3.57,5.28,4.39,7.28,A
41,1.14,3.64,0.97,2.87,D
42,3.59,2.26,6.11,8.23,A
43,5.45,7.08,7.14,6.54,C
44,1.51,3.68,7.19,7.53,A
45,3.22,5.03,6.46,6.0,A
46,4.0,4.53,0.09,1.84,D
47,3.18,2.92,6.87,7.21,A
48,1.95,4.21,3.69,8.28,A
49,1.43,4.2,4.23,7.95,A
50,2.44,3.19,5.64,8.69,A
51,3.51,3.98,1.44,-0.56,D
52,2.6,8.37,3.29,5.81,C
53,2.66,5.45,6.67,6.33,C
54,3.14,6.58,3.42,3.46,C
55,4.46,7.15,7.22,8.14,C
56,2.09,6.16,5.8,7.81,C
57,3.29,4.34,4.66,7.06,A
58,6.26,7.42,6.89,7.41,C
59,4.5,5.16,4.69,5.85,C
60,2.76,8.71,5.42,5.63,C
61,2.04,4.06,4.93,6.1,A
62,7.66,8.05,5.73,7.33,C
63,2.4,4.17,2.05,-0.53,D
64,6.15,5.15,2.61,3.31,B
65,4.92,4.71,0.3,0.37,B
66,5.61,2.55,2.02,0.92,B
67,1.61,2.06,0.98,1.71,D
68,3.52,5.47,1.52,-0.38,D
69,2.58,4.24,6.06,7.91,A
70,2.65,6.32,4.3,5.89,C
71,4.1,5.83,7.37,6.23,C
72,5.91,5.4,1.53,1.65,B
73,3.72,5.96,4.24,5.38,C
74,1.55,2.94,5.16,6.53,A
75,3.33,6.05,2.28,2.14,D
76,1.88,3.23,5.02,6.46,A
77,2.6,3.01,4.32,8.18,A
78,3.5,7.58,5.7,4.9,C
79,2.07,1.62,1.38,1.3,D
80,5.42,4.78,3.26,2.38,B
81,2.78,2.21,2.85,-0.23,D
82,2.57,7.12,6.56,7.48,C
83,2.37,0.52,2.38,3.25,D
84,4.72,4.94,4.86,5.02,A
85,2.68,2.93,4.49,8.64,A
86,3.34,4.8,4.48,7.77,A
87,4.47,9.15,3.97,7.94,C
88,5.63,2.42,1.3,0.34,B
89,1.87,2.51,4.17,6.12,A
90,4.21,7.26,5.36,6.54,C
91,3.85,5.67,1.81,1.84,D
92,5.32,3.69,1.42,0.42,B
93,1.73,3.25,5.62,8.33,A
94,4.44,5.49,5.38,7.17,A
95,3.91,7.68,4.06,7.56,C
96,3.59,5.23,1.93,1.48,D
97,3.3,3.86,6.52,7.64,A
98,1.86,3.05,3.51,2.34,D
99,7.62,3.86,2.0,0.29,B
100,4.42,3.55,1.26,0.37,D
101,4.07,1.85,1.39,-0.38,D
102,5.42,2.5,0.73,3.21,B
